project_id,user_id,assigned_at,is_creator
1,2,2024-02-20,1
1,1,2024-02-21,0
1,4,2024-02-22,0
1,31,2024-02-25,0
1,31,2024-03-01,0
2,5,2024-03-10,1
2,33,2024-03-11,0
2,16,2024-03-12,0
2,24,2024-04-01,0
3,19,2024-03-25,1
3,23,2024-03-26,0
3,37,2024-03-27,0
3,9,2024-04-10,0
4,6,2024-04-01,1
4,35,2024-04-02,0
4,14,2024-04-03,0
4,27,2024-05-01,0
5,12,2024-04-10,1
5,25,2024-04-11,0
5,34,2024-05-10,0
6,14,2024-04-20,1
6,11,2024-04-21,0
6,35,2024-04-22,0
6,20,2024-06-01,0
7,33,2024-05-01,1
7,24,2024-05-02,0
7,16,2024-05-03,0
7,21,2024-06-10,0
8,11,2024-05-12,1
8,9,2024-05-13,0
8,28,2024-06-15,0
9,23,2024-05-20,1
9,4,2024-05-21,0
9,30,2024-07-01,0
10,16,2024-06-01,1
10,35,2024-06-02,0
10,19,2024-07-10,0
11,25,2024-06-05,1
11,29,2024-06-06,0
11,2,2024-06-06,0
12,13,2024-06-10,1
12,26,2024-06-11,0
12,19,2024-07-10,0
13,37,2024-06-18,1
13,23,2024-06-19,0
13,10,2024-06-19,0
14,11,2024-07-02,1
14,4,2024-07-03,0
14,2,2024-07-03,0
15,33,2024-07-10,1
15,3,2024-07-11,0
15,20,2024-07-11,0
16,23,2024-07-15,1
16,29,2024-07-16,0
16,6,2024-07-16,0
17,9,2024-07-20,1
17,21,2024-07-21,0
17,1,2024-07-21,0
18,35,2024-07-25,1
18,16,2024-07-26,0
18,4,2024-07-26,0
19,5,2024-08-01,1
19,27,2024-08-02,0
19,10,2024-07-10,0
20,32,2024-08-05,1
20,31,2024-08-06,0
20,3,2024-08-06,0
21,14,2024-08-10,1
21,12,2024-08-11,0
21,13,2024-08-11,0
22,12,2024-08-15,1
22,25,2024-08-16,0
22,19,2024-08-16,0
23,19,2024-08-20,1
23,37,2024-08-21,0
23,2,2024-08-21,0
24,7,2024-08-25,1
24,33,2024-08-26,0
24,11,2024-08-26,0
25,16,2024-09-01,1
25,38,2024-09-02,0
25,17,2024-09-02,0
26,10,2024-09-05,1
26,15,2024-09-06,0
26,18,2024-09-06,0
27,35,2024-09-10,1
27,11,2024-09-11,0
27,6,2024-09-11,0
28,23,2024-09-12,1
28,29,2024-09-13,0
28,8,2024-09-13,0
29,25,2024-09-15,1
29,12,2024-09-16,0
29,11,2024-09-16,0
30,4,2024-09-18,1
30,14,2024-09-19,0
30,32,2024-09-19,0
31,33,2024-09-20,1
31,16,2024-09-21,0
31,15,2024-09-21,0
32,2,2024-09-22,1
32,22,2024-09-23,0
32,1,2024-09-23,0
33,1,2024-09-23,1
33,11,2024-09-24,0
33,16,2024-09-24,0
34,18,2024-09-24,1
34,35,2024-09-25,0
34,13,2024-09-25,0
35,6,2024-09-25,1
35,14,2024-09-26,0
35,12,2024-09-26,0